"統一編號","公司名稱","負責人","公司地址","實收資本額","公司狀態","產製日期"
"00811628","隆慎企業股份有限公司","許O霖","基隆市仁愛區新店里1鄰孝三路82號","10000000","核准設立","2017-11-01 03:32:41.01"
"01126029","煥翔實業有限公司","簡O富","新北市三重區過圳街7巷16號4樓之1","null","核准設立","2017-11-01 03:32:41.01"
"01185764","全辰實業有限公司","梁O輝","臺北市中山區長安東路1段8號3樓","null","核准設立","2017-11-01 03:32:41.01"
"01456436","威麥克健康生技股份有限公司","陳O揚","新北市新店區民權路108-3號7樓","10000000","核准設立","2017-11-01 03:32:41.01"
"01988193","鋐運企業有限公司","","新北市林口區文化二路１段３８４號之５","null","廢止","2017-11-01 03:32:41.01"
"02280323","泰源百貨有限公司","陳O蓮","新北市新店區寶中路95之5號","null","核准設立","2017-11-01 03:32:41.01"
"03221766","法蝶國際開發股份有限公司","蔡O廷","臺北市中山區南京東路2段36號7樓","42000000","核准設立","2017-11-01 03:32:41.01"
"03283306","厚生股份有限公司","徐O材","臺北市中正區漢口街1段82號8樓","3800000000","核准設立","2017-11-01 03:32:41.01"
"03322504","建台水泥股份有限公司","鄭O田","高雄市苓雅區意誠里自強三路3號24樓之6","3140353000","核准設立","2017-11-01 03:32:41.01"
"03374306","國泰建設股份有限公司","張O櫆","臺北市大安區敦化南路2段218號2樓","11595610590","核准設立","2017-11-01 03:32:41.01"
"03522600","遠東新世紀股份有限公司","徐O東","臺北市大安區敦化南路2段207號36樓","53528752270","核准設立","2017-11-01 03:32:41.01"
"03538906","臺隆工業股份有限公司","黃O漳","臺北市中山區松江路261號12樓","500000000","核准設立","2017-11-01 03:32:41.01"
"03593409","興臺貿易股份有限公司","廖O昌","臺北市中正區沅陵街10號2樓","25000000","核准設立","2017-11-01 03:32:41.01"
"03607500","聲寶股份有限公司","財O法人陳茂榜工商發展基金會","桃園市龜山區大華里頂湖26-3號","4990000000","核准設立","2017-11-01 03:32:41.01"
"03795101","台灣肥料股份有限公司","康O鴻","臺北市中山區南京東路2段88號6樓","9800000000","核准設立","2017-11-01 03:32:41.01"
"03798509","中國時報文化事業股份有限公司","蔡O明","臺北市萬華區大理街132號1~7樓","5180000000","核准設立","2017-11-01 03:32:41.01"
"03799802","聯合報股份有限公司","王O杉","新北市汐止區大同路1段369號","3090000000","核准設立","2017-11-01 03:32:41.01"
"04196414","工商財經數位股份有限公司","蔡O明","臺北市萬華區大理街132號","700000000","核准設立","2017-11-01 03:32:41.01"
"04249242","一樂園股份有限公司","陳O瑩","臺北市萬華區西寧南路24號1樓","60000000","核准設立","2017-11-01 03:32:41.01"
"04261625","科訓企業有限公司","何O田","臺北市中正區濟南路2段31之23號6樓","0","核准設立","2017-11-01 03:32:41.01"
"04263969","明園企業有限公司","","臺北市中正區中華路2段75巷1弄7號","null","解散","2017-11-01 03:32:41.01"
"04265349","永欣豐華股份有限公司","高O明","臺北市中山區松江路398號2樓","10000000","核准設立","2017-11-01 03:32:41.01"
"04283509","惠祥貿易股份有限公司","黃O仁","桃園市龜山區大崗里頂湖二街57號　","200000000","核准設立","2017-11-01 03:32:41.01"
"04285437","福益實業股份有限公司","蘇O輝","臺北市中正區愛國東路22號15樓","340000000","核准設立","2017-11-01 03:32:41.01"
"04361125","復興煤礦股份有限公司","林O谷","臺北市中山區松江路82號3樓","60000000","核准設立","2017-11-01 03:32:41.01"
"04363215","內外資訊網絡國際股份有限公司","劉O鐘","臺北市大安區敦化南路2段59號7樓之2","8000000","核准設立","2017-11-01 03:32:41.01"
"04389073","葡其實業股份有限公司","孫O福","臺北市中山區南京西路1之3號1樓","26000000","核准設立","2017-11-01 03:32:41.01"
"04399255","旭順食品股份有限公司","于O嘉","新北市三重區重陽路3段99號10樓","290000000","核准設立","2017-11-01 03:32:41.01"
"04431071","成功體育文具股份有限公司","林O弘","新北市汐止區康寧街149號1樓","29000000","核准設立","2017-11-01 03:32:41.01"
"04503095","國信傳播事業有限公司","呂O雄","臺北市大同區長安西路56號5樓","null","核准設立","2017-11-01 03:32:41.01"
"04567359","萬年百貨股份有限公司","侯O淑昭","臺北市中山區長安東路1段9號9樓","4000000","核准設立","2017-11-01 03:32:41.01"
"04615057","名軒開發股份有限公司","吳O瑩","新北市五股區成泰路1段189巷16號5樓","2975151810","核准設立","2017-11-01 03:32:41.01"
"04641772","邦瑞實業有限公司","劉O娟","臺北市信義區信義路5段5號","0","核准設立","2017-11-01 03:32:41.01"
"04682739","龍揚企業有限公司","何O昱","新北市蘆洲區中興街8號","0","核准設立","2017-11-01 03:32:41.01"
"04685877","國際廣告企業有限公司","袁O鳳印","臺北市信義區信安街149號5樓","null","核准設立","2017-11-01 03:32:41.01"
"04757891","廣運機械工程股份有限公司","謝O福","新北市瑞芳區頂坪路瑞芳工業區69號1樓","2540111500","核准設立","2017-11-01 03:32:41.01"
"04935495","迪奧實業有限公司","李O豪","臺北市大安區東豐街16號2樓之3","0","核准設立","2017-11-01 03:32:41.01"
"04991860","津秋企業股份有限公司","陳O秋","臺北市內湖區成功路3段171號2樓","185605000","核准設立","2017-11-01 03:32:41.01"
"05007903","金車股份有限公司","李O財","臺北市中正區羅斯福路3段230號","4050000000","核准設立","2017-11-01 03:32:41.01"
"05007994","北杰企業有限公司","","臺北市南港區忠孝東路7段611號(1樓)","null","解散","2017-11-01 03:32:41.01"
"05026438","遠流出版事業股份有限公司","王O文","臺北市中正區南昌路2段81號6樓","200373750","核准設立","2017-11-01 03:32:41.01"
"05064431","公誠興業股份有限公司","林O麗","臺北市內湖區民善街89號3樓","489613100","核准設立","2017-11-01 03:32:41.01"
"05066108","亞永實業股份有限公司","楊O亞","新北市新店區寶興路45巷8弄1號4樓","24000000","核准設立","2017-11-01 03:32:41.01"
"05099591","茗陽企業有限公司","","臺北市中正區中華路2段75巷1弄7號","null","解散","2017-11-01 03:32:41.01"
"05128553","迷蘭實業股份有限公司","游O瑛","臺北市中正區沅陵街4號1樓","20000000","核准設立","2017-11-01 03:32:41.01"
"05134324","弘雅圖書股份有限公司","劉O華","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓","21000000","核准設立","2017-11-01 03:32:41.01"
"05152321","火得實業股份有限公司","曾O雲","桃園市龍潭區烏樹林里中豐路324號","20000000","核准設立","2017-11-01 03:32:41.01"
"05184787","金石堂圖書股份有限公司","周O芳","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室","255991000","核准設立","2017-11-01 03:32:41.01"
"05406486","美而快實業股份有限公司","三O投資股份有限公司","臺北市南港區南港路3段47巷8號1樓","149700000","核准設立","2017-11-01 03:32:41.01"
"05714195","遠百企業股份有限公司","徐O東","新北市板橋區貴興路101號","877440000","核准設立","2017-11-01 03:32:41.01"
"06667446","京城建設股份有限公司","蔡O贊","高雄市左營區博愛二路150號12樓","3842707320","核准設立","2017-11-01 03:32:41.01"
"07046620","中日國際企業股份有限公司","夏O夷華得企業股份有限公司","臺北市中山區力行里12鄰復興北路48號7樓","2731664070","核准設立","2017-11-01 03:32:41.01"
"07220710","宏洲纖維工業股份有限公司","詹O田","臺北市內湖區瑞光路607號7樓","1321124540","核准設立","2017-11-01 03:32:41.01"
